molecular_weight,logP,TPSA,H_bond_donors,H_bond_acceptors,rotatable_bonds,ring_count,label
455.5510000000003,4.402500000000004,90.93,1.0,7.0,7.0,2.0,1.0
582.6570000000003,4.694500000000004,137.03,2.0,9.0,9.0,5.0,1.0
184.491,2.3528000000000002,9.23,0.0,1.0,3.0,0.0,1.0
106.099101778,-1.6094,83.55,3.0,3.0,2.0,0.0,1.0
58.443,-5.992,0.0,0.0,0.0,0.0,0.0,1.0
191.19,1.7411999999999999,67.01,2.0,3.0,1.0,2.0,1.0
392.4110000000001,2.3476,101.65,2.0,7.0,2.0,5.0,1.0
364.357,1.7851999999999997,101.65,2.0,7.0,1.0,5.0,1.0
340.4630000000001,4.370100000000004,43.370000000000005,0.0,3.0,0.0,5.0,1.0
151.933,0.04340000000000005,29.46,1.0,2.0,0.0,2.0,1.0
181.191,0.3466000000000001,83.55000000000001,3.0,3.0,3.0,1.0,1.0
172.268,1.6985,40.46,2.0,2.0,1.0,1.0,1.0
533.9380000000001,5.1266200000000035,91.16000000000001,1.0,7.0,9.0,4.0,1.0
318.7560000000001,3.8130000000000033,63.60000000000001,1.0,3.0,5.0,2.0,1.0
434.4710000000004,2.3474000000000004,86.37,1.0,4.0,4.0,5.0,1.0
315.84400000000005,4.384200000000003,12.47,0.0,2.0,3.0,3.0,1.0
208.26099999999994,1.1618,44.120000000000005,0.0,4.0,3.0,2.0,1.0
94.11299999999999,1.3921999999999999,20.23,1.0,1.0,0.0,1.0,1.0
313.78800000000007,3.4292000000000016,36.86,1.0,4.0,0.0,4.0,1.0
326.83099999999996,3.7227000000000023,30.870000000000005,1.0,4.0,0.0,4.0,1.0
425.9200000000002,3.353200000000002,78.82,2.0,5.0,5.0,5.0,1.0
327.815,3.7714000000000025,28.07,0.0,4.0,0.0,4.0,1.0
1736.1849999999993,10.812700000000007,340.12,6.0,28.0,15.0,14.0,1.0
346.85800000000006,4.404500000000003,24.940000000000005,0.0,4.0,4.0,3.0,1.0
200.28199999999998,0.8190000000000001,58.2,2.0,2.0,7.0,0.0,1.0
323.4400000000001,4.839900000000004,50.94,1.0,4.0,3.0,3.0,1.0
452.55100000000033,3.9598800000000027,81.02000000000001,0.0,7.0,12.0,3.0,1.0
396.44300000000015,2.0945999999999994,106.94,3.0,4.0,8.0,3.0,1.0
274.755,2.644820000000001,42.21,1.0,4.0,1.0,3.0,1.0
336.435,3.758200000000003,34.47,0.0,4.0,2.0,5.0,1.0
321.37600000000003,3.8845000000000027,40.46,0.0,4.0,1.0,4.0,1.0
372.4210000000003,3.0778000000000008,85.89,2.0,5.0,10.0,2.0,1.0
852.946,1.2457000000000107,236.74999999999994,5.0,12.0,7.0,6.0,1.0
498.6200000000003,3.944200000000003,94.17,1.0,8.0,9.0,2.0,1.0
457.6580000000002,6.185100000000007,40.540000000000006,1.0,3.0,3.0,5.0,1.0
520.6700000000004,5.6977000000000055,86.22,1.0,6.0,7.0,5.0,1.0
470.5220000000003,2.1057999999999995,125.40000000000002,3.0,6.0,10.0,3.0,1.0
