GeneID,SNP_Count,Exon_Length,SNP_Density,Expression
FBgn0002121,0,585,0.0,2045.8695652173913
FBgn0031209,0,2629,0.0,19.73913043478261
FBgn0263584,0,2230,0.0,9.58695652173913
FBgn0051973,3,1585,0.0018927444794952682,865.5
FBgn0067779,2,623,0.0032102728731942215,1087.4347826086957
FBgn0266322,9,2686,0.0033507073715562173,43.34782608695652
FBgn0031213,4,1293,0.0030935808197989174,3180.6521739130435
FBgn0031214,0,1378,0.0,21.76086956521739
FBgn0002931,7,3151,0.002221516978736909,134.2608695652174
FBgn0031216,0,6476,0.0,2033.1521739130435
FBgn0031217,0,892,0.0,686.7173913043479
FBgn0026787,1,2551,0.0003920031360250882,826.6521739130435
FBgn0005278,1,1887,0.0005299417064122947,12201.434782608696
FBgn0031220,20,5816,0.0034387895460797797,3012.086956521739
FBgn0266304,0,1062,0.0,101.15217391304348
FBgn0001142,0,3517,0.0,8209.695652173914
FBgn0265075,2,502,0.00398406374501992,0.30434782608695654
FBgn0051975,2,1355,0.0014760147601476014,0.0
FBgn0051976,2,1486,0.0013458950201884253,0.0
FBgn0051974,5,3692,0.0013542795232936078,991.1086956521739
FBgn0259818,0,206,0.0,635.9347826086956
FBgn0031227,0,1699,0.0,122.08695652173913
FBgn0031228,8,2166,0.003693444136657433,2040.5652173913043
FBgn0031229,2,520,0.0038461538461538464,747.4565217391304
FBgn0053635,1,769,0.0013003901170351106,161.5
FBgn0016977,9,6226,0.0014455509155155799,5836.739130434783
FBgn0031231,1,903,0.0011074197120708748,461.6521739130435
FBgn0031232,0,165,0.0,109.54347826086956
FBgn0031233,3,2450,0.0012244897959183673,747.0869565217391
FBgn0266557,1,2251,0.000444247001332741,10261.760869565218
FBgn0031235,0,1660,0.0,24.130434782608695
FBgn0283652,1,728,0.0013736263736263737,145.7173913043478
FBgn0031238,0,658,0.0,506.9130434782609
FBgn0265150,2,754,0.002652519893899204,4.826086956521739
FBgn0031240,0,2417,0.0,193.8695652173913
FBgn0086912,2,1756,0.0011389521640091116,244.2826086956522
FBgn0086855,1,1674,0.0005973715651135006,743.8913043478261
FBgn0003444,3,4008,0.0007485029940119761,485.1304347826087
FBgn0031244,2,1452,0.0013774104683195593,568.2608695652174
FBgn0031245,5,1392,0.0035919540229885057,4035.0434782608695
FBgn0267996,6,1820,0.0032967032967032967,29.76086956521739
FBgn0031247,1,748,0.001336898395721925,356.6304347826087
FBgn0017457,5,2434,0.002054231717337716,658.3913043478261
FBgn0024352,2,2023,0.0009886307464162135,1840.7826086956522
FBgn0020622,5,2148,0.0023277467411545625,1208.2391304347825
FBgn0263872,3,658,0.004559270516717325,1.565217391304348
FBgn0264086,0,1709,0.0,197.93478260869566
FBgn0004611,11,7396,0.0014872904272579773,5817.369565217391
FBgn0031250,0,1122,0.0,2073.2608695652175
FBgn0000061,1,1806,0.0005537098560354374,12.282608695652174
FBgn0031251,0,2240,0.0,227.15217391304347
FBgn0003278,2,3564,0.0005611672278338945,301.6304347826087
FBgn0264855,6,2781,0.002157497303128371,4257.260869565217
FBgn0263933,1,3327,0.00030057108506161706,1333.391304347826
FBgn0002593,6,979,0.006128702757916241,36888.913043478264
FBgn0031254,1,665,0.0015037593984962407,5.108695652173913
FBgn0031255,3,2259,0.0013280212483399733,23.565217391304348
FBgn0004583,2,1564,0.0012787723785166241,975.2391304347826
FBgn0015924,7,962,0.007276507276507277,4856.478260869565
FBgn0031256,0,1488,0.0,594.6521739130435
FBgn0031257,0,1598,0.0,1133.9347826086957
FBgn0031258,4,961,0.004162330905306972,1075.2826086956522
FBgn0027592,1,2592,0.00038580246913580245,676.9782608695652
FBgn0043364,3,884,0.003393665158371041,2752.5
FBgn0003963,9,3284,0.0027405602923264312,582.4347826086956
FBgn0010602,9,4267,0.0021092102179517225,1185.8478260869565
FBgn0031260,4,1736,0.002304147465437788,1623.0434782608695
FBgn0005660,11,5166,0.002129307007355788,132.58695652173913
FBgn0031261,0,1532,0.0,1037.7173913043478
FBgn0260933,1,1212,0.0008250825082508251,204.7826086956522
FBgn0031263,1,853,0.0011723329425556857,1905.1304347826087
FBgn0031264,2,726,0.0027548209366391185,277.54347826086956
FBgn0021874,0,1584,0.0,242.7391304347826
FBgn0031266,2,6929,0.0002886419396738346,1195.1739130434783
FBgn0031268,0,321,0.0,629.3260869565217
FBgn0013323,0,890,0.0,66.67391304347827
FBgn0023489,2,1880,0.0010638297872340426,1113.0869565217392
FBgn0010323,5,1124,0.004448398576512456,35.891304347826086
FBgn0267827,6,964,0.006224066390041493,0.9565217391304348
FBgn0031270,3,2177,0.0013780431786862655,87.28260869565217
FBgn0284247,15,8311,0.0018048369630610035,165.04347826086956
FBgn0266323,1,549,0.0018214936247723133,0.2608695652173913
FBgn0267993,14,2784,0.005028735632183908,1.3043478260869565
FBgn0026438,2,1504,0.0013297872340425532,12768.04347826087
FBgn0031275,15,4686,0.003201024327784891,1494.4347826086957
FBgn0041250,3,2340,0.001282051282051282,1.434782608695652
FBgn0031279,2,4359,0.0004588208304657031,31.847826086956523
FBgn0000442,2,2583,0.0007742934572202865,91.30434782608695
FBgn0051658,3,783,0.0038314176245210726,12.717391304347826
FBgn0086130,1,1732,0.0005773672055427252,195.1304347826087
FBgn0031281,0,285,0.0,317.4130434782609
FBgn0031283,0,896,0.0,1.7826086956521738
FBgn0031284,0,1370,0.0,282.2173913043478
FBgn0031285,5,2785,0.0017953321364452424,16024.804347826086
FBgn0010583,6,1683,0.0035650623885918,2469.5
FBgn0020304,6,1421,0.00422237860661506,5468.826086956522
FBgn0031287,2,753,0.0026560424966799467,285.69565217391306
FBgn0020545,0,396,0.0,1556.5217391304348
FBgn0031288,0,1059,0.0,4.673913043478261
FBgn0031289,0,314,0.0,32.71739130434783
FBgn0029095,2,742,0.0026954177897574125,1565.4782608695652
FBgn0053526,2,1292,0.0015479876160990713,8301.065217391304
FBgn0031292,6,1317,0.004555808656036446,74.17391304347827
FBgn0002936,3,871,0.003444316877152698,3314.891304347826
FBgn0002563,1,740,0.0013513513513513514,1188.2608695652175
FBgn0046113,2,3004,0.0006657789613848203,84.26086956521739
FBgn0028481,4,359,0.011142061281337047,3054.695652173913
FBgn0266036,26,4284,0.006069094304388422,0.2826086956521739
FBgn0031294,35,6854,0.005106507149110009,65174.52173913043
FBgn0031296,5,1368,0.003654970760233918,10.108695652173912
FBgn0003310,28,4207,0.0066555740432612314,1629.7391304347825
FBgn0015905,2,2745,0.0007285974499089253,264.3478260869565
FBgn0031298,7,3179,0.002201950298836112,1545.695652173913
FBgn0031299,7,3383,0.002069169376293231,2409.695652173913
FBgn0261938,4,905,0.004419889502762431,964.804347826087
FBgn0031301,0,3266,0.0,8.0
FBgn0031302,5,1030,0.0048543689320388345,80.43478260869566
FBgn0016926,1,418,0.0023923444976076554,7343.586956521739
FBgn0031304,0,2701,0.0,2135.8478260869565
FBgn0031306,14,2485,0.005633802816901409,16893.347826086956
FBgn0031307,3,2029,0.0014785608674223755,277.0217391304348
FBgn0031309,0,999,0.0,118.17391304347827
FBgn0261458,0,811,0.0,3226.5
FBgn0031312,0,1540,0.0,527.7608695652174
FBgn0031313,4,1484,0.0026954177897574125,4725.673913043478
FBgn0031314,2,1925,0.001038961038961039,233.93478260869566
FBgn0031315,2,646,0.0030959752321981426,252.2826086956522
FBgn0024314,3,1236,0.0024271844660194173,807.0217391304348
FBgn0051922,1,497,0.002012072434607646,78.69565217391305
